attr_key,attr_name,machine_attr,attr_code,unit,ct_ref,attr_desc,result_type,test_key
10001,Peritoneal Fluid for Amylase,Default,ATTRCODE,Null,BSH,Desc update,1,10001
10002,Pus for Fungus (GMS) stain,Default,ATTRCODE,Null,BSH,Desc,1,10002
10003,Drain fluid for Bilirubin,Default,ATTRCODE,mg/dl,BSH,Desc,1,10003
10004,NASAL SWAB FOR KLB,Default,ATTRCODE,Null,BSH,Desc,1,10004
10005,X-Pert  MTB/RIF assay by archived gastric Aspirate,Default,ATTRCODE,Null,BSH,Desc,1,10005
10006,Anti-Filaria Ab IgG4,Default,ATTRCODE,Null,BSH,Desc,1,10006
10007,Synovial Fluid For Potassium(K+),Default,ATTRCODE,mmol/L,BSH,Desc,1,10007
10008,Chikungunya Antibody IgM,Default,ATTRCODE,Null,BSH,Desc,1,10008
10009,Gentamicin,Default,ATTRCODE,Null,BSH,Desc,1,10009
10010,Levofloxacin,Default,ATTRCODE,Null,BSH,Desc,1,10009
10011,Co-trimoxazole,Default,ATTRCODE,Null,BSH,Desc,1,10009
10012,Cefaclor,Default,ATTRCODE,Null,BSH,Desc,1,10009
10013,Cefepime,Default,ATTRCODE,Null,BSH,Desc,1,10009
10014,Ceftazidime,Default,ATTRCODE,Null,BSH,Desc,1,10009
10015,Ceftriaxone,Default,ATTRCODE,Null,BSH,Desc,1,10009
10016,Cephradine,Default,ATTRCODE,Null,BSH,Desc,1,10009
10017,Cloxacillin,Default,ATTRCODE,Null,BSH,Desc,1,10009
10018,Mecillinam,Default,ATTRCODE,Null,BSH,Desc,1,10009
10019,Neomycin,Default,ATTRCODE,Null,BSH,Desc,1,10009
10020,Nitrofurantoin,Default,ATTRCODE,Null,BSH,Desc,1,10009
10021,Penicillin,Default,ATTRCODE,Null,BSH,Desc,1,10009
10022,Azithromycin,Default,ATTRCODE,Null,BSH,Desc,1,10009
10023,Amikacin,Default,ATTRCODE,Null,BSH,Desc,1,10009
10024,Chloramphenicol,Default,ATTRCODE,Null,BSH,Desc,1,10009
10025,Imipenem,Default,ATTRCODE,Null,BSH,Desc,1,10009
10026,Nalidixic Acid,Default,ATTRCODE,Null,BSH,Desc,1,10009
10027,Tetracycline,Default,ATTRCODE,Null,BSH,Desc,1,10009
10028,Vancomycin,Default,ATTRCODE,Null,BSH,Desc,1,10009
10029,Amoxycillin,Default,ATTRCODE,Null,BSH,Desc,1,10009
10030,Cefixime,Default,ATTRCODE,Null,BSH,Desc,1,10009
10031,Cefuroxime,Default,ATTRCODE,Null,BSH,Desc,1,10009
10032,Ciprofloxacin,Default,ATTRCODE,Null,BSH,Desc,1,10009
10033,Erythromycin,Default,ATTRCODE,Null,BSH,Desc,1,10009
10034,Linezolid,Default,ATTRCODE,Null,BSH,Desc,1,10009
10035,Netilmicin,Default,ATTRCODE,Null,BSH,Desc,1,10009
10036,Amoxyclave,Default,ATTRCODE,Null,BSH,Desc,1,10009
10037,Aztreonam,Default,ATTRCODE,Null,BSH,Desc,1,10009
10038,Cefotaxime,Default,ATTRCODE,Null,BSH,Desc,1,10009
10039,Doxycycline,Default,ATTRCODE,Null,BSH,Desc,1,10009
10040,Piperacillin,Default,ATTRCODE,Null,BSH,Desc,1,10009
10041,Colistin,Default,ATTRCODE,Null,BSH,Desc,1,10009
10042,Meropenem,Default,ATTRCODE,Null,BSH,Desc,1,10009
10043,Piperacillin/Tazobactum,Default,ATTRCODE,Null,BSH,Desc,1,10009
10044,Polymyxin B,Default,ATTRCODE,Null,BSH,Desc,1,10009
10045,Tigecycline,Default,ATTRCODE,Null,BSH,Desc,1,10009
10046,Mupirocin,Default,ATTRCODE,Null,BSH,Desc,1,10009
10047,Teicoplanin,Default,ATTRCODE,Null,BSH,Desc,1,10009
10048,Cefpodoxime,Default,ATTRCODE,Null,BSH,Desc,1,10009
10049,Cefoxitin,Default,ATTRCODE,Null,BSH,Desc,1,10009
10050,Clindamycin,Default,ATTRCODE,Null,BSH,Desc,1,10009
10051,Gentamicin HGM,Default,ATTRCODE,Null,BSH,Desc,1,10009
10052,*Azithromycin,Default,ATTRCODE,Null,BSH,Desc,1,10009
10053,*Polymyxin B,Default,ATTRCODE,Null,BSH,Desc,1,10009
10054,*Colistin,Default,ATTRCODE,Null,BSH,Desc,1,10009
10055,Pus cells,Default,ATTRCODE,Null,BSH,Desc,1,10010
10056,Gram stain,Default,ATTRCODE,Null,BSH,Desc,1,10010
10057,Yeast cell,Default,ATTRCODE,Null,BSH,Desc,1,10010
10058,Epithelial cells,Default,ATTRCODE,Null,BSH,Desc,1,10010
10059,Gram negative extracellur diplococci,Default,ATTRCODE,Null,BSH,Desc,1,10010
10060,Gram negative intracellular diplococci,Default,ATTRCODE,Null,BSH,Desc,1,10010
10061,Gram Positive Cocci,Default,ATTRCODE,Null,BSH,Desc,1,10010
10062,Gram Negative Bacilli,Default,ATTRCODE,Null,BSH,Desc,1,10010
10063,Gram Positive Bacilli,Default,ATTRCODE,Null,BSH,Desc,1,10010
10064,Pleural Fluid for Malignant Cell,Default,ATTRCODE,Null,BSH,A malignant pleural effusion (MPE) is the build up of fluid and cancer cells that collects between the chest wall and the lung. This can cause you to have chest discomfort as well as feel short of breath. It is a fairly common complication in a number of different cancers.,1,10011
10065,Protein,C-PROM,ATTRCODE,g/dL,BSH,Desc,1,10012
10066,Chloride,Cl,ATTRCODE,mmol/L,BSH,Desc,1,10013
10067,Glucose,300,ATTRCODE,mmol/L,BSH,Desc,1,10014
10068,Neomycin,Default,ATTRCODE,Null,BSH,Desc,1,10015
10069,Nitrofurantoin,Default,ATTRCODE,Null,BSH,Desc,1,10015
10070,Penicillin,Default,ATTRCODE,Null,BSH,Desc,1,10015
10071,Azithromycin,Default,ATTRCODE,Null,BSH,Desc,1,10015
10072,Amikacin,Default,ATTRCODE,Null,BSH,Desc,1,10015
10073,Chloramphenicol,Default,ATTRCODE,Null,BSH,Desc,1,10015
10074,Imipenem,Default,ATTRCODE,Null,BSH,Desc,1,10015
10075,Nalidixic Acid,Default,ATTRCODE,Null,BSH,Desc,1,10015
10076,Tetracycline,Default,ATTRCODE,Null,BSH,Desc,1,10015
10077,Vancomycin,Default,ATTRCODE,Null,BSH,Desc,1,10015
10078,Cefaclor,Default,ATTRCODE,Null,BSH,Desc,1,10015
10079,Cefepime,Default,ATTRCODE,Null,BSH,Desc,1,10015
10080,Ceftazidime,Default,ATTRCODE,Null,BSH,Desc,1,10015
10081,Cefuroxime,Default,ATTRCODE,Null,BSH,Desc,1,10015
10082,Cephradine,Default,ATTRCODE,Null,BSH,Desc,1,10015
